label_ID,label_name,,,
65e36c1efc13ae0ea2cd3f16,Acoustic Arts,,,
65e36c1efc13ae0ea2cd3f17,Cadence Creations,,,
65e36c1efc13ae0ea2cd3f18,Harmonic Harmony,,,
65e36c1efc13ae0ea2cd3f19,Harmonize Harmony,,,
65e36c1efc13ae0ea2cd3f1a,Harmonize Records,,,
65e36c1efc13ae0ea2cd3f1b,Harmony Records,,,
65e36c1efc13ae0ea2cd3f1c,Melodic Muse,,,
65e36c1efc13ae0ea2cd3f1d,Melody Productions,,,
65e36c1efc13ae0ea2cd3f1e,Muse Music,,,
65e36c1efc13ae0ea2cd3f1f,NoteWorthy Records,,,
65e36c1efc13ae0ea2cd3f20,Pulse Music Group,,,
65e36c1efc13ae0ea2cd3f21,Rhythm Records,,,
65e36c1efc13ae0ea2cd3f22,Rhythmic Records,,,
65e36c1efc13ae0ea2cd3f23,Sonic Sounds,,,
65e36c1efc13ae0ea2cd3f24,Sonic Symphony,,,
65e36c1efc13ae0ea2cd3f25,Symphony Sounds,,,
65e36c1efc13ae0ea2cd3f26,Symphony Studios,,,
65e36c1efc13ae0ea2cd3f27,TuneTown Music,,,
65e36c1efc13ae0ea2cd3f28,Vibe Valley,,,
65e36c1efc13ae0ea2cd3f29,Vibe Vibes,,,